Company Name,Website,Founded Year,Company HQ Phone,Fax,Ticker,Revenue (in 000s USD),Revenue Range (in USD),Employees,Employee Range,SIC Code 1,SIC Code 2,SIC Codes,NAICS Code 1,NAICS Code 2,NAICS Codes,Primary Industry,Primary Sub-Industry,All Industries,All Sub-Industries,Industry Hierarchical Category,Secondary Industry Hierarchical Category,Alexa Rank,ZoomInfo Company Profile URL,LinkedIn Company Profile URL,Facebook Company Profile URL,Twitter Company Profile URL,,,address,latitude,longitude
Dairy Farmers of America Inc,www.dfamilk.com,1998,(816) 801-6455,,,21700000,Over $5 bil.,19000,Employees.10000plus,8742,7319,20;202;2026;73;731;7319;87;874;8742;2021,541820,541613,31;311;3115;31151;311511;311512;54;541;5416;54161;541613;5418;54182;541820,Manufacturing,Food & Beverage,Manufacturing;Business Services,Food & Beverage;Advertising & Marketing,mfg,mfg.food,230350,https://app.zoominfo.com/#/apps/profile/company/39932385,http://www.linkedin.com/company/dairy-farmers-of-america,http://www.facebook.com/84177291169,http://www.twitter.com/dfamilk,,,"1405 N 98th St, Kansas City, Kansas, 66111, United States",-94.876543,39.123456
National Beef Packing Company LLC,www.nationalbeef.com,1992,(800) 449-2333,,,2607081,$1 bil. - $5 bil.,9600,Employees.5000to9999,2013,2011,20;201;2011;2013,311612,311611,31;311;3116;31161;311611;311612,Manufacturing,Food & Beverage,Manufacturing,Food & Beverage,mfg,mfg.food,812947,https://app.zoominfo.com/#/apps/profile/company/66274198,http://www.linkedin.com/company/national-beef-packing,http://www.facebook.com/1917376818476348,,,,"12200 N Ambassador Dr Ste 500, Kansas City, Missouri, 64163, United States",-94.681234,39.297321
Farmlandfoods,www.farmlandfoods.com,1959,(855) 411-7675,,,495000,$250 mil. - $500 mil.,9000,Employees.5000to9999,2011,201,20;201;2011,311611,31161,31;311;3116;31161;311611,Manufacturing,Food & Beverage,Manufacturing,Food & Beverage,mfg,mfg.food,11764322,https://app.zoominfo.com/#/apps/profile/company/38850757,http://www.linkedin.com/company/farmland-foods,http://www.facebook.com/farmlandfoods,http://www.twitter.com/farmlandfoods,,,"12200 N Ambassador Dr, Kansas City, Missouri, 64163, United States",-94.681234,39.297321
Seaboard Foods,www.seaboardfoods.com,1990,(913) 261-2600,,,2109316,$1 bil. - $5 bil.,5000,Employees.5000to9999,5147,2013,02;021;0213;20;201;2013;51;514;5147;07;075;0751,311613,311612,11;115;1152;11521;115210;112;1122;11221;112210;31;311;3116;31161;311613;311612,Manufacturing,Food & Beverage,Manufacturing,Food & Beverage,mfg,mfg.food,4788263,https://app.zoominfo.com/#/apps/profile/company/344182592,http://www.linkedin.com/company/seaboard-foods,http://www.facebook.com/sbfoods,http://www.twitter.com/seaboardfoods,,,"9000 W 67th St Ste 200, Merriam, Kansas, 66202, United States",-94.693456,39.00789
Russell Stover Candies Inc,www.russellstover.com,1923,(816) 842-9240,(816) 855-2356,,714637,$500 mil. - $1 bil.,1694,Employees.1000to4999,5441,5145,20;206;2066;54;544;5441;2064;209;2099;51;514;5145,445292,311352,31;311;3113;31135;311351;311352;44;445;4452;44529;445292,Manufacturing,Food & Beverage,Manufacturing;Retail,Food & Beverage;Grocery Retail,mfg,mfg.food,344606,https://app.zoominfo.com/#/apps/profile/company/104104523,http://www.linkedin.com/company/russell-stover-chocolates,http://www.facebook.com/202833536406943,http://www.twitter.com/rstover_candies,,,"4900 Oak St, Kansas City, Missouri, 64112, United States",-94.581234,39.045678
Bartlett,www.bartlettco.com,1907,(816) 753-6300,(712) 322-1747,,291930,$250 mil. - $500 mil.,692,Employees.500to999,5153,2075,20;204;2041;207;2075;51;515;5153,541921,424510,31;311;3112;31121;311211;31122;311224;42;424;4245;42451;424510;54;541;5419;54192;541921,Manufacturing,Food & Beverage,Manufacturing;Retail,Food & Beverage;Grocery Retail,mfg,mfg.food,4028659,https://app.zoominfo.com/#/apps/profile/company/1124224098,http://www.linkedin.com/company/bartlettco,http://www.facebook.com/bartlettco,http://www.twitter.com/jobsbartlett,,,"4900 Main St Ste 1200, Kansas City, Missouri, 64112, United States",-94.586543,39.045789
McCormick Distilling Co Inc,www.mccormickdistilling.com,1856,(816) 640-2276,,,103136,$100 mil. - $250 mil.,180,Employees.100to249,2085,2084,20;208;2084;2085,312140,312130,31;312;3121;31213;312130;31214;312140,Manufacturing,Food & Beverage,Manufacturing,Food & Beverage,mfg,mfg.food,9509228,https://app.zoominfo.com/#/apps/profile/company/75663092,http://www.linkedin.com/company/mc-cormick-distilling-co,http://www.facebook.com/american-marking-paving-llc-158987444133236,,,,"1 Mc Cormick Ln, Weston, Missouri, 64098, United States",-94.901234,39.413456
Boulevard Brewing Co,www.boulevard.com,1989,(816) 474-7095,,,101248,$100 mil. - $250 mil.,347,Employees.250to499,2084,2082,20;208;2084;2082,312130,312120,31;312;3121;31213;312130;31212;312120,Manufacturing,Food & Beverage,Manufacturing,Food & Beverage,mfg,mfg.food,791182,https://app.zoominfo.com/#/apps/profile/company/12603027,http://www.linkedin.com/company/boulevard-brewing-company,http://www.facebook.com/364922774069035,http://www.twitter.com/boulevard_beer,,,"2501 Southwest Blvd, Kansas City, Missouri, 64108, United States",-94.604321,39.075678
Pub Decor,www.pubdecor.com,1995,(816) 761-1102,,,13168,$10 mil. - $25 mil.,62,Employees.50to99,2084,208,20;208;2084,312130,31213,31;312;3121;31213;312130,Manufacturing,Food & Beverage,Manufacturing,Food & Beverage,mfg,mfg.food,8020279,https://app.zoominfo.com/#/apps/profile/company/233472296,http://www.linkedin.com/company/pub-decor-llc,http://www.facebook.com/pubdecor,,,,"PO Box 277, Stilwell, Kansas, 66085, United States",-94.665432,38.759876
Old World Spices & Seasonings Inc,www.oldworldspices.com,1987,(816) 861-0400,,,20689,$10 mil. - $25 mil.,79,Employees.50to99,2099,209,20;209;2099,424490,311942,31;311;3119;31194;311942;42;424;4244;42449;424490,Retail,Grocery Retail,Retail;Manufacturing,Grocery Retail;Food & Beverage,retail,retail.grocery,7175043,https://app.zoominfo.com/#/apps/profile/company/28754600,http://www.linkedin.com/company/old-world-spices-&-seasonings,http://www.facebook.com/oldworldspicesandseasonings,,,,"101 NE Davis St, Concordia, Missouri, 64020, United States",-93.568765,38.984321
Kansas City Sausage Co,www.kcsausageco.com,2008,(816) 891-9600,,,26387,$25 mil. - $50 mil.,75,Employees.50to99,2013,201,20;201;2013,311612,31161,31;311;3116;31161;311612,Manufacturing,Food & Beverage,Manufacturing,Food & Beverage,mfg,mfg.food,,https://app.zoominfo.com/#/apps/profile/company/354435127,http://www.linkedin.com/company/kansas-city-sausage-company-llc,http://www.facebook.com/kansas-city-sausage-company-124911497527675,,,,"8001 NW 106th St, Kansas City, Missouri, 64153, United States",-94.678901,39.283456
INNCO Inc,www.innco.org,1976,(316) 945-5272,,,11477,$10 mil. - $25 mil.,25,Employees.20to49,2111,211,21;211;2111,721110,312230,31;312;3122;31223;312230;72;721;7211;72111;721110,Manufacturing,Food & Beverage,Manufacturing,Food & Beverage,mfg,mfg.food,17992627,https://app.zoominfo.com/#/apps/profile/company/449053225,http://www.linkedin.com/company/innco-org,http://www.facebook.com/innco-1773337092937595,http://www.twitter.com/inncoorg,,,"7300 W 110th St Ste 990, Overland Park, Kansas, 66210, United States",-94.701234,38.92789
Cervasi,www.cervasi.com,,(816) 455-4188,,,77189,$50 mil. - $100 mil.,398,Employees.250to499,2046,207,20;207;2046;29;21;26;39,311225,31122,31;311;3112;31122;311225,Manufacturing,Food & Beverage,Manufacturing,Food & Beverage,mfg,mfg.food,18439825,https://app.zoominfo.com/#/apps/profile/company/368311268,,http://www.facebook.com/cervasiusa,http://www.twitter.com/cookwithkalota,,,"2101 E Santa Fe St 26, Olathe, Kansas, 66062, United States",-94.798765,38.881234
Westar Foods Inc,www.westarfoods.com,2007,(913) 648-2148,,,13154,$10 mil. - $25 mil.,97,Employees.50to99,5461,546,54;546;5461,311811,31181,31;311;3118;31181;311811,Hospitality,Restaurants,Hospitality;Manufacturing,Restaurants;Food & Beverage,hospitality,hospitality.restaurant,14518075,https://app.zoominfo.com/#/apps/profile/company/347006524,http://www.linkedin.com/company/westar-foods-inc.,,,,,"10875 Benson Dr Ste 200, Overland Park, Kansas, 66210, United States",-94.701234,38.929876
WheatFields Bakery Caf̩,www.wheatfieldsbakery.com,1995,(785) 841-5553,,,12625,$10 mil. - $25 mil.,13,Employees.10to19,5461,546,54;546;5461,311811,31181,31;311;3118;31181;311811,Retail,Grocery Retail,Retail;Manufacturing,Grocery Retail;Food & Beverage,retail,retail.grocery,3847130,https://app.zoominfo.com/#/apps/profile/company/86786073,,http://www.facebook.com/wheatfieldsbakery,http://www.twitter.com/wheatfieldsbkry,,,"904 Vermont St, Lawrence, Kansas, 66044, United States",-95.235678,38.971234
Spicin Foods,www.spicinfoods.com,1998,(913) 432-5228,,,17560,$10 mil. - $25 mil.,76,Employees.50to99,2035,209,20;209;2035,311941,31194,31;311;3119;31194;311941,Manufacturing,Food & Beverage,Manufacturing,Food & Beverage,mfg,mfg.food,5373259,https://app.zoominfo.com/#/apps/profile/company/464967627,http://www.linkedin.com/company/spicin-foods,http://www.facebook.com/spicinfoods,http://www.twitter.com/spicinfoods,,,"111 Southwest Blvd, Kansas City, Kansas, 66103, United States",-94.625678,39.062345
Sustainable Agriculture Summit,www.sustainableagsummit.org,1996,,,,13009,$10 mil. - $25 mil.,8,Employees.5to9,9641,964,96;964;9641,926140,92614,32;324;3241;31;312;3122;33;331;339;326;92;926;9261;92614;926140,Manufacturing,Food & Beverage,Manufacturing;Government,Food & Beverage,mfg,mfg.food,8251517,https://app.zoominfo.com/#/apps/profile/company/561716554,http://www.linkedin.com/company/sustainable-agriculture-summit,http://www.facebook.com/sustainableagsummit,http://www.twitter.com/sustagsummit,,,"1700 City Center 01100 Sq, Kansas City, Missouri, 64105, United States",-94.583456,39.100123
Belfonte Ice Cream & Dairy Foods Co,www.belfontedairy.com,1984,(816) 231-2000,,,22068,$10 mil. - $25 mil.,14,Employees.10to19,2026,2024,20;202;2026;2024,311520,311511,31;311;3115;31151;311511;31152;311520,Manufacturing,Food & Beverage,Manufacturing,Food & Beverage,mfg,mfg.food,4586916,https://app.zoominfo.com/#/apps/profile/company/4325766,http://www.linkedin.com/company/belfonte-ice-cream-co,http://www.facebook.com/belfontedairy,http://www.twitter.com/belfontedairy,,,"1625 Cleveland Ave, Kansas City, Missouri, 64127, United States",-94.548765,39.093456
Hetherington Meat Processing,,1952,(660) 885-4409,,,37036,$25 mil. - $50 mil.,37,Employees.20to49,2011,201,20;201;2011,311611,31161,31;311;3116;31161;311611,Manufacturing,Food & Beverage,Manufacturing,Food & Beverage,mfg,mfg.food,,https://app.zoominfo.com/#/apps/profile/company/1222915224,,http://www.facebook.com/hetherington-meats-326863201071400,,,,"3126 Nw Hwy N, Clinton, Missouri, 64735, United States",-93.778901,38.368765
Free State Brewing Co,www.freestatebrewing.com,1989,(785) 843-4555,,,20221,$10 mil. - $25 mil.,32,Employees.20to49,2082,208,20;208;2082,312120,31212,31;312;3121;31212;312120,Retail,Grocery Retail,Retail;Manufacturing,Grocery Retail;Food & Beverage,retail,retail.grocery,1961309,https://app.zoominfo.com/#/apps/profile/company/40404777,http://www.linkedin.com/company/free-state-brewing-co,http://www.facebook.com/41155318809,http://www.twitter.com/freestatebeer,,,"636 Massachusetts St, Lawrence, Kansas, 66044, United States",-95.235678,38.971234
La Superior Food Products Inc,www.lasuperiorfood.com,1985,(913) 432-4933,,,17833,$10 mil. - $25 mil.,87,Employees.50to99,2038,203,20;203;2038,311412,31141,31;311;3114;31141;311412,Hospitality,Restaurants,Hospitality;Manufacturing,Restaurants;Food & Beverage,hospitality,hospitality.restaurant,,https://app.zoominfo.com/#/apps/profile/company/347549980,http://www.linkedin.com/company/la-superior-food-products-inc,,,,,"4307 Merriam Dr, Shawnee Mission, Kansas, 66203, United States",-94.711234,39.040123
23rd Street Brewery,www.brew23.com,2006,(785) 856-2337,,,18892,$10 mil. - $25 mil.,85,Employees.50to99,2082,208,20;208;2082,312120,31212,31;312;3121;31212;312120,Manufacturing,Food & Beverage,Manufacturing,Food & Beverage,mfg,mfg.food,3496338,https://app.zoominfo.com/#/apps/profile/company/369204470,http://www.linkedin.com/company/23rd-street-brewery,http://www.facebook.com/brew23,http://www.twitter.com/23rdstbrewery,,,"3512 Clinton Pkwy, Lawrence, Kansas, 66047, United States",-95.285678,38.950123
Swiss Miss Inc,www.swissmiss.com,2001,(803) 789-4054,,,21320,$10 mil. - $25 mil.,66,Employees.50to99,2066,206,20;206;2066,311351,31135,31;311;3113;31135;311351,Manufacturing,Food & Beverage,Manufacturing,Food & Beverage,mfg,mfg.food,1817295,https://app.zoominfo.com/#/apps/profile/company/1121695481,,http://www.facebook.com/swissmiss,,,,"11315 W 142nd Ter, Overland Park, Kansas, 66221, United States",-94.715678,38.860123
McCoy's Public House,www.mccoyskc.com,,(816) 960-0866,,,11080,$10 mil. - $25 mil.,80,Employees.50to99,5813,581,58;581;5813,722410,72241,72;722;7224;72241;722410,Manufacturing,Food & Beverage,Manufacturing;Hospitality,Food & Beverage;Restaurants,mfg,mfg.food,,https://app.zoominfo.com/#/apps/profile/company/556264218,http://www.linkedin.com/company/mccoys-public-house-llc,,,,,"4057 Pennsylvania Ave, Kansas City, Missouri, 64111, United States",-94.590123,39.053456
Becamo SA,www.becamo.hn,1983,+504 26052700,,,17667,$10 mil. - $25 mil.,94,Employees.50to99,2043,209,20;209;2043;29;21;26;39,311920,31192,31;311;3119;31192;311920,Manufacturing,Food & Beverage,Manufacturing,Food & Beverage,mfg,mfg.food,14256261,https://app.zoominfo.com/#/apps/profile/company/429677877,http://www.linkedin.com/company/becamo-nkg,http://www.facebook.com/becamo-specialty-coffee-138812103257125,http://www.twitter.com/becamospecoffee,,,"29056 Hedge Ln, Paola, Kansas, 66071, United States",-94.881234,38.566789